Field 2,Field 3,custom_web_address
"Biological Sciences Learning Center, Room 115","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 202","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 205","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 218","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 240","924 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biological Sciences Learning Center, Room 313","924 East 57th Street, Chicago IL",http://maps.uchicago.edu/northwest/bsdlearn.html
"Biopsychological Research Building, Rm 122/Seminar Room 940","940 East 57th Street, Chicago, IL",http://maps.uchicago.edu/northwest/allee.html
"Biopsychological Research Building, Room 122","940 East 57th Street, Chicago, IL 60637",http://maps.uchicago.edu/northwest/allee.html
Bond Chapel,"1050 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/bond.html
"Bookstore, First Floor","970 East 58th Street, Chicago, IL",http://maps.uchicago.edu/westquad/bookstor.html
"Bookstore, Third Floor","970 East 58th Street, Chicago, IL",http://maps.uchicago.edu/westquad/bookstor.html
Botany Pond,,"http://maps.google.com/maps/ms?hl=en&ie=UTF8&msa=0&ll=41.791441,-87.599552&spn=0.002084,0.003541&z=18&msid=112106965123750206647.00044caee994200f501bd"
Brent House,"5540 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/north/brent.html
"Building 1155, Room 313","1155 East 60th Street, Chicago, IL",http://maps.uchicago.edu/south/1155.html
"Building 1155, Room 314","1155 East 60th Street, Chicago, IL",http://maps.uchicago.edu/south/1155.html
Calvert House,"5735 South University Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/calvert.html
Cancer Resource Center Room #1005,5758 South Maryland Avenue,http://uccrc.uchicago.edu/
Center For Care and Discovery,,
Center for College Student Success,"Harper Memorial Library, W406",https://maps.uchicago.edu/?location=Harper+Memorial+Library
Center for East Asian Studies,,maps.uchicago.edu
Center for Elementary Math & Science Education (CEMSE),"Room 304, 1225 East 60th Street, Chicago, IL",http://maps.uchicago.edu/southeastcampus/
Center for Middle Eastern Studies,"Pick Hall 201, 5828 S. University Ave.",http://maps.uchicago.edu/mainquad/pickhall.html
Center in Beijing,"20th floor, Culture Plaza No. 59A Zhong Guan Cun Street Haidian District Beijing 100872 People's Republic of China",http://www.uchicago.cn/
Center in Delhi,"DLF Capitol Point, Baba Kharak Singh Marg, New Delhi, India 110001",http://www.uchicago.in/
Center in Hong Kong,"Level 6, Cyberport 2 100 Cyberport Rd Hong Kong",http://uchicago.hk/
Center in Paris,"6, rue Thomas Mann, 75013 Paris, France","http://maps.google.com/maps/place?cid=11730542604867957136&q=university+of+chicago+center+in+paris,+paris+france&hl=en&cd=1&cad=src:ppiwlink&ei=YpeVT5n_HMPAwAGGxqC4CA&sig2=sS1hwoOg-OT-05e1OxQksg"
"Centers for Gender/Race Studies, Community Room (105)","5733 South University, Chicago, IL",http://maps.uchicago.edu/eastquad/centers.html
"Centers for Gender/Race Studies, First Floor Seminar Room (103)","5733 South University, Chicago, IL",http://maps.uchicago.edu/eastquad/centers.html
"Centers for Gender/Race Studies, Lower Level Seminar Room (003)","5733 South University Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/centers.html
"Centers for Gender/Race Studies, Second Floor","5733 South University, Chicago, IL",http://maps.uchicago.edu/eastquad/centers.html
"Centers for Gender/Race Studies, Third Floor","5733 South University, Chicago, IL",http://maps.uchicago.edu/eastquad/centers.html
Chapin Hall,"1313 East 60th Street, Chicago, IL",
"Chapin Hall, Richman Conference Room","1313 East 60th Street Chicago, IL",http://maps.uchicago.edu/farsoutheast/chapin.html
"Chapin Hall, Room 112","Merriam Center for Public Administration 1313 East 60th Street Chicago, IL 60637",http://maps.uchicago.edu/farsoutheast/chapin.html
"Chapin Hall, Room 250",,http://maps.uchicago.edu/farsoutheast/chapin.html
Charles M. Harper Center,"5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
Charles M. Harper Center C-07,"5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
Charles M. Harper Center C-08,"5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
"Charles M. Harper Center, Room 104","5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
"Charles M. Harper Center, Room C25","5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
"Charles M. Harper Center, Suite 219","5807 South Woodlawn Avenue, Chicago, IL",http://maps.uchicago.edu/eastquad/business.html
"Charles Stewart Mott Building, Room 20","1225 East 60th Street, Chicago, IL",http://maps.uchicago.edu/southeastcampus/mott.html
"Charles Stewart Mott Building, Room 304","1225 East 60th Street, Chicago, IL",http://maps.uchicago.edu/southeastcampus/mott.html
"Chicago Lying-In Building, Courtyard","5841 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/lying_in.html
"Chicago Lying-In Building, L272 (OBGYN Conference Room)","5841 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/lying_in.html
"Chicago Lying-In Building, Room 6NE","5841 S Maryland Ave. Chicago, IL",http://maps.uchicago.edu/westquad/lying_in.html
"Chicago Lying-In Building, Room L168 (Dora DeLee Hall)","5841 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/lying_in.html
"Classics Building, Anscome Lounge, Room 121","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 101","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 110","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 113","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 117","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 21","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 221","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
"Classics Building, Room 312","1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/classics.html
Classics Quad,,"http://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=112106965123750206647.00044d130b974a41dfbf1&ll=41.788869,-87.599444&spn=0.0023,0.004876&z=18"
"Cobb Lecture Hall, Room 101","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 102","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 103","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 104","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 106","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 107","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 110","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 112","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 115","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 116","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 119","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 201 A-B","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 201 B-C","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 202","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 203","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 205","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 208","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 210","5811 South Ellis Avenue, Chicago IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 218","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 219","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 224","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 228","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 301","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 302","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 303","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 304","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 306","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 307","5811 S. Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 310","5811 S. Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 319","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 402","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 403","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 409","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 418","5811 S. Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 425","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room 430","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room B","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
"Cobb Lecture Hall, Room C","5811 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/mainquad/cobbhall.html
Cochrane-Woods Art Center (CWAC),"5540 South Greenwood Avenue, Chicago, IL",http://maps.uchicago.edu/north/cw_arts.html
Cochrane-Woods Art Center 157,"5540 South Greenwood Ave, Chicago, IL",http://maps.uchicago.edu/north/cw_arts.html
Cochrane-Woods Art Center Lounge,"5540 South Greenwood Ave, Chicago, IL",http://maps.uchicago.edu/north/cw_arts.html
Cochrane-Woods Art Center Room Number: 152,"5560 S. Greenwood Ave Chicago, Il 60637","https://www.google.com/maps/place/Cochrane+Woods+Art+Center/@41.7939899,-87.6020896,17z/data=!3m1!4b1!4m5!3m4!1s0x880e29da7ea71235:0x534010d56402252c!8m2!3d41.7939899!4d-87.5999009"
"Cochrane-Woods Art Center, 153","5540 South Greenwood Ave, Chicago, IL",http://maps.uchicago.edu/north/cw_arts.html
"Cochrane-Woods Art Center, 156","5540 South Greenwood Ave, Chicago, IL",http://maps.uchicago.edu/north/cw_arts.html
"Comer Children's Hospital, Room K160C","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K269","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K287","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K361","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K469","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K532","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K571","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K632","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
"Comer Children's Hospital, Room K671","5721 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/comer.html
Common Room,"1025 E. 58th St, Chicago IL 60637",
Community Programs Accelerator,"5225 South Cottage Grove Avenue, Chicago, IL",https://maps.uchicago.edu/?location=Facilities+Services
Corner of University Avenue and 59th Street,,
Court Theatre,"5535 S. Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/north/ctheatre.html
"Crerar 007, Computer Training Room","5730 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/crerar.html
Crerar Library,"5730 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/crerar.html
Crerar Library Quad,"5730 South Ellis Avenue Chicago, IL 60637",
"Crerar Library, Boardroom","5730 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/crerar.html
"Crerar Library, GIS Hub","5730 South Ellis Avenue, Chicago, IL 60637",https://maps.uchicago.edu//location/john-crerar-library/
"Crerar Library, Kathleen A. Zar Room","5730 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/crerar.html
"Crerar Library, Lower Level Conference Room","5730 South Ellis Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/crerar.html
Cummings Life Science Center,"920 East 58th Street, Chicago, IL, 60637",
"Cummings Life Science Center, Room 101","920 East 58th Street, Chicago, IL 60637",http://maps.uchicago.edu/westquad/cummings.html
"Cummings Life Science Center, Room 117","920 East 58th Street, Chicago, IL",http://maps.uchicago.edu/westquad/cummings.html
"Cummings Life Science Center, Room 119","920 East 58th Street, Chicago, IL",http://maps.uchicago.edu/westquad/cummings.html
D'Angelo Law Library,1111 E. 60th Street,http://maps.uchicago.edu/south/lairdbll.html
David Rubenstein Forum Friedman Hall (3rd floor),"1201 East 60th Street, Chicago, IL 60637",
Department of Music,"1010 East 59th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/goodspd.html
Disciples Divinity House,"1156 East 57th Street, Chicago, IL 60637",ddh.uchicago.edu
DOVA Temporary Gallery,"5228 South Harper Avenue, Chicago, IL 60615",
"Duchossois Center for Advanced Medicine, 4th Floor Atrium","5758 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/advmed.html
"Duchossois Center for Advanced Medicine, Room CAM1402","5758 South Maryland Avenue, Chicago, IL",http://maps.uchicago.edu/westquad/advmed.html
DuSable Museum for African American History,"740 E 56th Pl, Chicago, IL 60637",http://www.dusablemuseum.org/
"Eckhardt Research Center, Atrium",,
"Eckhardt Research Center, Auditorium Room 161","5640 South Ellis Avenue, Chicago, IL",https://maps.uchicago.edu/?location=William+Eckhardt+Research+Center+(Spring+2015)
"Eckhardt Research Center, Room 201B","5640 South Ellis Avenue Chicago, IL 60637",https://maps.uchicago.edu/location/william-eckhardt-research-center-2015/
"Eckhardt Research Center, Room 301","5640 S Ellis Ave, Chicago, IL",https://maps.uchicago.edu/?location=William+Eckhardt+Research+Center
"Eckhardt Research Center, Room 401","5640 South Ellis Avenue, Chicago, IL",https://maps.uchicago.edu/?location=William+Eckhardt+Research+Center+(Spring+2015)
"Eckhardt Research Center, Room 501","5640 South Ellis Avenue, Chicago, IL",https://maps.uchicago.edu/?location=William+Eckhardt+Research+Center+(Spring+2015)
"Eckhardt Research Center, Room 576","5640 S. Ellis Ave, Chicago, IL",https://maps.uchicago.edu/?location=William+Eckhardt+Research+Center+(Spring+2015)
"Eckhart Hall, Room 110","1118 East 58th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/eckhart.html
"Eckhart Hall, Room 117","1118 East 58th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/eckhart.html
"Eckhart Hall, Room 133","1118 East 58th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/eckhart.html
"Eckhart Hall, Room 201","1118 East 58th Street, Chicago, IL",http://maps.uchicago.edu/mainquad/eckhart.html
